Code,Property,Area,Side,Column1,Column2,Column3,Column4
QP8,1KP,PSU-L,B,BC548B Transistor bipolari - BJT 100mA 30V NPN,,,
QP9,3KP 2N,PSU-L,B,AD-BC856/57/58 Series Plastic-Encapsulated Transistor,,,
QP11,C6351G,PSU-L,A,,,,
QP12,,VIDEO_L,B,,,,
QP18,,PSU-L,B,,,,
RB,245 47K,COLOR,A,potentiometer,,,
RF1,153,COLOR,B,15k Ohms,,,
RF2,223,COLOR,B,22k Ohms,,,
RF2 ,223,COLOR,B,22k Ohms,,,
RF3,332,VIDEO_L,B,3300 Ohm,,,
RF5,185?,COLOR,B,,,,
RF6,102,VIDEO_L,B,1k Ohm,,,
RF7,471,VIDEO_L,B,470 Ohm,,,
RF9,331,VIDEO_L,B,330 Ohm,,,
RF10,331,VIDEO_L,B,330 Ohm,,,
RF12,106,VIDEO-H,B,10M Ohm,,,
RF15,123,COLOR,B,12k Ohm,,,
RF16,195,VIDEO_L,B,1900k Ohm,,,
RF17,434,COLOR,B,430k Ohm,,,
RF18,223,COLOR,B,22k Ohms,,,
RF20,153,CONNECTOR,B,15k Ohms,,,
RL1,104,COLOR,B,100k Ohm,,,
RL2,223,COLOR,B,22k Ohms,,,
RL3,,COLOR,B,,,,
RL4,292?,COLOR,B,,,,
RL5,103,COLOR,B,10k Ohms,,,
RL6,295,VIDEO_L,B,2900k Ohm,,,
RL7,3A,COLOR,B,maybe A is a kambda,,,
RL8,472,COLOR,B,4700 Ohm,,,
RL9,104,COLOR,B,100k Ohm,,,
RL10,753,COLOR,B,75k Ohm,,,
RL11,128,COLOR,B,1200M Ohm ??,,,
RL12,272,VIDEO_L,B,2700 Ohm,,,
RL14,471,VIDEO-H,B,470 Ohm,,,
RL15,193,VIDEO-H,B,19k Ohm,,,
RL16,321,VIDEO-H,B,320 Ohm,,,
RL17,151,COLOR,B,150 Ohm,,,
RL18,472,VIDEO-H,B,4700 Ohm,,,
RL19,392?,VIDEO-H,B,,,,
RL20,,VIDEO-H,B,,,,
RL21,471,VIDEO_L,B,470 Ohm,,,
RL23,180,VIDEO_L,B,18 Ohm,,,
RL24,471,VIDEO_L,B,470 Ohm,,,
RL26,401,VIDEO-H,B,400 Ohm,,,
RL27,302,VIDEO-H,B,3k Ohm,,,
RL29,153,VIDEO-H,B,15k Ohms,,,
RL30,154,VIDEO_L,B,150k Ohm,,,
RL31,392,COLOR,B,3900 Ohm,,,
RL34,220,VIDEO_L,B,22 Ohm,,,
RL35,295,VIDEO-H,B,2900k Ohm,,,
RL38,223,VIDEO_L,B,22k Ohms,,,
RL39,223,VIDEO_L,B,22k Ohms,,,
RL40,399?,VIDEO-H,B,,,,
RL41,393,VIDEO-H,B,39k Ohm,,,
RL42,105,VIDEO-H,B,1000k Ohm,,,
RL43,103?,VIDEO-H,B,,,,
RL44,102,COLOR,B,1000 Ohm,,,
RL45,474,COLOR,B,470k Ohm,,,
RL46,392,VIDEO_L,B,3900 Ohm,,,
RL47,514,COLOR,B,510k Ohm,,,
RL48,514,VIDEO-H,B,510k Ohm,,,
RL49,105,VIDEO-H,B,1000k Ohm,,,
RL50,470,VIDEO_L,B,47 Ohm,,,
RL53,514,VIDEO-H,B,510k Ohm,,,
RL60,471,VIDEO-H,B,470 Ohm,,,
RL68,103,VIDEO_L,B,10k Ohms,,,
RL74,683,VIDEO_L,B,68k Ohm,,,
RLX3,,VIDEO-H,B,,,,
RP1,PH NTC 10 OHM,PSU-H,A,"THERMISTOR, NTC, 10 OHM, RADIAL",,,
RP2,182,PSU-H,B,1800 Ohm,,,
RP3,2215?,PSU-H,B,,,,
RP4,471,PSU-H,B,470 Ohm,,,
RP5,103,PSU-H,B,10k Ohms,,,
RP6,4531?,PSU-H,B,,,,
RP7,470k Ohms,PSU-H,A,Resistor,,,
RP8,15k Ohm,PSU-H,A,,,,
RP11,101,PSU-H,B,100 Ohms,,,
RP12,PTH451C,PSU-H,A,Thermistor PTH451C,,,
RP14,1R5,PSU-H,B,,,,
RP15,230 Ohms 5%,PSU-H,A,,,,
RP17,470,PSU-H,B,47 Ohms,,,
RP19,30k Ohms 5%,PSU-H,A,,,,
RP20,,PSU-H,B,,,,
RP23,22k Ohms 5%,PSU-H,A,,,,
RP24,13k Ohms 2%,PSU-H,A,,,,
RP27,153,PSU-H,B,15k Ohms,,,
RP28,102,PSU-H,B,1000 Ohm,,,
RP29,392?,PSU-H,B,,,,
RP30,103,PSU-H,B,10k Ohms,,,
RP32,472,PSU-H,B,4722 Ohms,,,
RP34,027?,PSU-H,B,,,,
RP35,101,PSU-H,B,100 Ohms,,,
RP36,7.5k Ohms 5%,PSU-H,A,,,,
RP37,7.5k Ohms 5%,PSU-H,A,,,,
RP38,189?,PSU-L,B,,,,
RP39,203,PSU-L,B,20k Ohm,,,
RP40,10001,PSU-L,B,,,,
RP41,202,PSU-L,B,2k Ohm,,,
RP42,471,PSU-L,B,470 Ohm,,,
RP43,202,PSU-L,B,2k Ohm,,,
RP44,4701,PSU-L,B,,,,
RP45,103,PSU-L,B,10k Ohms,,,
RP46,102,PSU-L,B,1k Ohm,,,
RP47,229?,PSU-L,B,,,,
RP48,202,PSU-L,B,2k Ohm,,,
RP49,471,PSU-H,B,470 Ohm,,,
RP50,470?,PSU-H,B,47 Ohm,,,
RP51,472,PSU-L,B,4700 Ohm,,,
RP52,289?,PSU-H,B,,,,
RP54,101,PSU-L,B,100 Ohms,,,
RP55,103,PSU-L,B,10k Ohms,,,
RP57,100,PSU-L,B,100 Ohms,,,
RP59,0,PSU-H,B,,,,
RP60,open,PSU-H,B,,,,
RP62,203,VIDEO_L,B,20k Ohm,,,
RP63,203,VIDEO_L,B,20k Ohm,,,
RS1,open,PSU-L,B,,,,
RS2,open,PSU-L,B,,,,
RS3,104,CONNECTOR,B,,,,
RS4,512,CONNECTOR,B,,,,
RS5,0,CONNECTOR,B,,,,
RS6,open,CONNECTOR,B,,,,
RS7,104,CONNECTOR,B,,,,
RS53,100,PSU-L,B,,,,
RV2,750,COLOR,B,75 Ohm,,,
RV3,102,COLOR,B,1k Ohm,,,
RV4,750,COLOR,B,75 Ohm,,,
RV5,750,COLOR,B,75 Ohm,,,
RV6,123,COLOR,B,12k Ohm,,,
RV7,331,COLOR,B,330 Ohm,,,
RV8,331,COLOR,B,330 Ohm,,,
RV9,331,COLOR,B,330 Ohm,,,
RV15,471,COLOR,B,470 Ohm,,,
RV17,105,COLOR,B,100k Ohm,,,
RV18,105,COLOR,B,100k Ohm,,,
RV19,,COLOR,B,,,,
RV27,153,COLOR,B,15k Ohms,,,
RV28,272,COLOR,B,2700 Ohm,,,
RV29,682,COLOR,B,6800 Ohm,,,
RV30,303,COLOR,B,3k Ohm,,,
RV31,750,COLOR,B,75 Ohm,,,
RV32,222,COLOR,B,2200 Ohm,,,
RV33,100,COLOR,B,10 Ohm,,,
RV34,151,COLOR,B,150 Ohm,,,
RV35,101,COLOR,B,100 Ohms,,,
RV36,750,COLOR,B,75 Ohm,,,
RV37,750,COLOR,B,75 Ohm,,,
RV38,750,COLOR,B,75 Ohm,,,
RV46,203,COLOR,B,2k Ohm,,,
RV49,752,COLOR,B,7500 Ohm,,,
RV50,333,COLOR,B,33k Ohm,,,
RV51,393,COLOR,B,39k Ohm,,,
SG,22k 246M,COLOR,A,potentiometer,,,
VC,244 10k,COLOR,A,potentiometer,,,
